anio,provincia,region,fuente_energia,energia_gwh
2011,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,5.41861873006
2011,BUENOS AIRES,LITORAL,BIODIESEL,22.651652829426997
2011,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.059699
2011,BUENOS AIRES,BUENOS AIRES,EOLICO,0.24139999999999998
2012,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,107.89173939067001
2012,BUENOS AIRES,LITORAL,BIODIESEL,25.941767742627
2012,BUENOS AIRES,GRAN BS.AS.,BIOGAS,35.640717
2012,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.08806
2012,BUENOS AIRES,BUENOS AIRES,EOLICO,0.27261
2013,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2013,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2013,BUENOS AIRES,GRAN BS.AS.,BIOGAS,108.481127
2013,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.014462
2013,BUENOS AIRES,BUENOS AIRES,EOLICO,0.23541499999999999
2014,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,1.6262527110050002
2014,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2014,BUENOS AIRES,GRAN BS.AS.,BIOGAS,103.047123
2014,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.038904999999999995
2014,BUENOS AIRES,BUENOS AIRES,EOLICO,0.17435699999999996
2015,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2015,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2015,BUENOS AIRES,GRAN BS.AS.,BIOGAS,83.600253
2015,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.152693
2015,BUENOS AIRES,BUENOS AIRES,EOLICO,0.08098799999999998
2016,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.8775801314300001
2016,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2016,BUENOS AIRES,GRAN BS.AS.,BIOGAS,57.510292
2016,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.21909499999999998
2016,BUENOS AIRES,BUENOS AIRES,EOLICO,0.00584
2017,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2017,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2017,BUENOS AIRES,GRAN BS.AS.,BIOGAS,58.740357
2017,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.066537
2017,BUENOS AIRES,BUENOS AIRES,EOLICO,0.011758
2018,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2018,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2018,BUENOS AIRES,GRAN BS.AS.,BIOGAS,121.444603
2018,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.005442
2018,BUENOS AIRES,BUENOS AIRES,EOLICO,424.816639
2018,CATAMARCA,NOROESTE,SOLAR,8.80926
2011,CHUBUT,PATAGONIA,EOLICO,8.960885999999999
2011,CHUBUT,PATAGONICA,HIDRO <=50MW,109.82936500000001
2012,CHUBUT,PATAGONIA,EOLICO,309.646211
2012,CHUBUT,PATAGONICA,HIDRO <=50MW,91.98702800000001
2013,CHUBUT,PATAGONIA,EOLICO,388.91720399999997
2013,CHUBUT,PATAGONICA,HIDRO <=50MW,101.66463000000002
2014,CHUBUT,PATAGONIA,EOLICO,519.57248
2014,CHUBUT,PATAGONICA,HIDRO <=50MW,127.19674400000001
2015,CHUBUT,PATAGONIA,EOLICO,500.791517
2015,CHUBUT,PATAGONICA,HIDRO <=50MW,184.19917
2016,CHUBUT,PATAGONIA,EOLICO,453.738449
2016,CHUBUT,PATAGONICA,HIDRO <=50MW,130.61739400000002
2017,CHUBUT,PATAGONIA,EOLICO,535.981884
2017,CHUBUT,PATAGONICA,HIDRO <=50MW,196.050296
2018,CHUBUT,PATAGONIA,EOLICO,842.4388260000001
2018,CHUBUT,PATAGONICA,HIDRO <=50MW,125.868441
2011,CORDOBA,CENTRO,HIDRO <=50MW,234.796317
2012,CORDOBA,CENTRO,HIDRO <=50MW,278.810159
2013,CORDOBA,CENTRO,HIDRO <=50MW,286.414058
2014,CORDOBA,CENTRO,HIDRO <=50MW,368.631347
2015,CORDOBA,CENTRO,HIDRO <=50MW,381.454097
2016,CORDOBA,CENTRO,HIDRO <=50MW,431.49408000000005
2017,CORDOBA,CENTRO,BIOGAS,3.833208
2017,CORDOBA,CENTRO,HIDRO <=50MW,252.381484
2018,CORDOBA,CENTRO,BIOGAS,13.446697
2018,CORDOBA,CENTRO,BIOMASA,37.780171
2018,CORDOBA,CENTRO,EOLICO,84.16998500000001
2018,CORDOBA,CENTRO,HIDRO <=50MW,275.569956
2011,JUJUY,NOROESTE,HIDRO <=50MW,111.258269
2012,JUJUY,NOROESTE,HIDRO <=50MW,136.90281
2013,JUJUY,NOROESTE,HIDRO <=50MW,87.42236
2014,JUJUY,NOROESTE,HIDRO <=50MW,82.978967
2015,JUJUY,NOROESTE,HIDRO <=50MW,115.412257
2016,JUJUY,NOROESTE,HIDRO <=50MW,96.399056
2017,JUJUY,NOROESTE,HIDRO <=50MW,105.662931
2018,JUJUY,NOROESTE,HIDRO <=50MW,90.633874
2011,LA RIOJA,NOROESTE,EOLICO,6.773836999999999
2012,LA RIOJA,NOROESTE,EOLICO,38.432802
2013,LA RIOJA,NOROESTE,EOLICO,57.77677200000001
2014,LA RIOJA,NOROESTE,EOLICO,93.534318
2015,LA RIOJA,NOROESTE,EOLICO,92.07845800000001
2016,LA RIOJA,NOROESTE,EOLICO,93.026184
2017,LA RIOJA,NOROESTE,EOLICO,70.77245
2018,LA RIOJA,NOROESTE,EOLICO,77.70309300000001
2018,LA RIOJA,NOROESTE,SOLAR,15.88202
2011,MENDOZA,CUYO,BIODIESEL,3.52669118107
2011,MENDOZA,CUYO,HIDRO <=50MW,163.662648
2012,MENDOZA,CUYO,BIODIESEL,35.24994872911
2012,MENDOZA,CUYO,HIDRO <=50MW,205.899493
2013,MENDOZA,CUYO,BIODIESEL,0.23381
2013,MENDOZA,CUYO,HIDRO <=50MW,217.505263
2014,MENDOZA,CUYO,BIODIESEL,0.0
2014,MENDOZA,CUYO,HIDRO <=50MW,206.538005
2015,MENDOZA,CUYO,BIODIESEL,0.0
2015,MENDOZA,CUYO,HIDRO <=50MW,196.008762
2016,MENDOZA,CUYO,BIODIESEL,0.0
2016,MENDOZA,CUYO,HIDRO <=50MW,280.842023
2017,MENDOZA,CUYO,BIODIESEL,0.0
2017,MENDOZA,CUYO,HIDRO <=50MW,265.022528
2018,MENDOZA,CUYO,BIODIESEL,0.0
2018,MENDOZA,CUYO,HIDRO <=50MW,194.75326700000002
2011,MISIONES,NORESTE,BIOMASA,83.181507
2012,MISIONES,NORESTE,BIOMASA,66.22843
2013,MISIONES,NORESTE,BIOMASA,72.936952
2014,MISIONES,NORESTE,BIOMASA,42.605113
2015,MISIONES,NORESTE,BIOMASA,43.935459
2016,MISIONES,NORESTE,BIOMASA,58.183697
2017,MISIONES,NORESTE,BIOMASA,58.398033000000005
2018,MISIONES,NORESTE,BIOMASA,79.22345200000001
2011,RIO NEGRO,COMAHUE,HIDRO <=50MW,0.0
2012,RIO NEGRO,COM,HIDRO <=50MW,72.535575
2012,RIO NEGRO,COMAHUE,HIDRO <=50MW,10.849649
2013,RIO NEGRO,COM,HIDRO <=50MW,71.73258
2013,RIO NEGRO,COMAHUE,HIDRO <=50MW,25.171661
2014,RIO NEGRO,COM,HIDRO <=50MW,71.384495
2014,RIO NEGRO,COMAHUE,HIDRO <=50MW,16.785116
2015,RIO NEGRO,COM,HIDRO <=50MW,73.333793
2015,RIO NEGRO,COMAHUE,HIDRO <=50MW,14.209958
2016,RIO NEGRO,COM,HIDRO <=50MW,63.431243
2016,RIO NEGRO,COMAHUE,HIDRO <=50MW,21.823994
2017,RIO NEGRO,COM,HIDRO <=50MW,53.251864000000005
2017,RIO NEGRO,COMAHUE,HIDRO <=50MW,33.085029000000006
2018,RIO NEGRO,COM,HIDRO <=50MW,57.014948000000004
2018,RIO NEGRO,COMAHUE,HIDRO <=50MW,48.733873
2011,SALTA,NOROESTE,BIOMASA,6.122922000000004
2011,SALTA,NOROESTE,HIDRO <=50MW,72.080973
2012,SALTA,NOROESTE,BIOMASA,56.09952200000001
2012,SALTA,NOROESTE,HIDRO <=50MW,73.604081
2013,SALTA,NOROESTE,BIOMASA,54.92633399999999
2013,SALTA,NOROESTE,HIDRO <=50MW,50.222164
2014,SALTA,NOROESTE,BIOMASA,59.35567099999999
2014,SALTA,NOROESTE,HIDRO <=50MW,43.955113000000004
2015,SALTA,NOROESTE,BIOMASA,90.44377499999999
2015,SALTA,NOROESTE,HIDRO <=50MW,48.69404499999999
2016,SALTA,NOROESTE,BIOMASA,117.552891
2016,SALTA,NOROESTE,HIDRO <=50MW,55.84540300000001
2017,SALTA,NOROESTE,BIOMASA,168.815597
2017,SALTA,NOROESTE,HIDRO <=50MW,51.98694400000001
2018,SALTA,NOROESTE,BIOMASA,110.221481
2018,SALTA,NOROESTE,HIDRO <=50MW,49.588842
2011,SAN JUAN,CUYO,BIODIESEL,0.015229
2011,SAN JUAN,CUYO,HIDRO <=50MW,246.21409399999996
2011,SAN JUAN,CUYO,SOLAR,1.7631940000000002
2012,SAN JUAN,CUYO,BIODIESEL,1.13623265658
2012,SAN JUAN,CUY,HIDRO <=50MW,1.5932309999999998
2012,SAN JUAN,CUYO,HIDRO <=50MW,269.64217800000006
2012,SAN JUAN,CUYO,SOLAR,8.062296
2013,SAN JUAN,CUYO,BIODIESEL,1.986377863912
2013,SAN JUAN,CUY,HIDRO <=50MW,2.129286
2013,SAN JUAN,CUYO,HIDRO <=50MW,251.06700800000002
2013,SAN JUAN,CUYO,SOLAR,15.011556
2014,SAN JUAN,CUYO,BIODIESEL,0.0
2014,SAN JUAN,CUY,HIDRO <=50MW,2.015555
2014,SAN JUAN,CUYO,HIDRO <=50MW,236.477191
2014,SAN JUAN,CUYO,SOLAR,15.748637
2015,SAN JUAN,CUYO,BIODIESEL,0.0
2015,SAN JUAN,CUY,HIDRO <=50MW,1.0362419999999999
2015,SAN JUAN,CUYO,HIDRO <=50MW,244.31293300000002
2015,SAN JUAN,CUYO,SOLAR,14.670648000000002
2016,SAN JUAN,CUYO,BIODIESEL,0.0
2016,SAN JUAN,CUY,HIDRO <=50MW,0.4140500000000001
2016,SAN JUAN,CUYO,HIDRO <=50MW,345.04895999999997
2016,SAN JUAN,CUYO,SOLAR,14.263319000000001
2017,SAN JUAN,CUYO,BIODIESEL,0.0
2017,SAN JUAN,CUY,HIDRO <=50MW,0.6068140000000001
2017,SAN JUAN,CUYO,HIDRO <=50MW,430.04999300000003
2017,SAN JUAN,CUYO,SOLAR,16.405158
2018,SAN JUAN,CUYO,BIODIESEL,0.0
2018,SAN JUAN,CUY,HIDRO <=50MW,0.40287599999999996
2018,SAN JUAN,CUYO,HIDRO <=50MW,304.536658
2018,SAN JUAN,CUYO,SOLAR,31.527147
2017,SAN LUIS,CENTRO,BIOGAS,0.418291
2018,SAN LUIS,CENTRO,BIOGAS,2.551416
2018,SAN LUIS,CENTRO,SOLAR,53.103644
2011,SANTA FE,LITORAL,BIODIESEL,0.881520584227
2011,SANTA FE,LITORAL,HIDRO <=50MW,0.10270900000000001
2012,SANTA FE,LITORAL,BIODIESEL,0.0
2012,SANTA FE,LITORAL,HIDRO <=50MW,0.017209000000000002
2013,SANTA FE,LITORAL,BIODIESEL,0.0
2013,SANTA FE,LITORAL,HIDRO <=50MW,0.019433
2014,SANTA FE,LITORAL,BIODIESEL,0.0
2014,SANTA FE,LITORAL,HIDRO <=50MW,0.177461
2015,SANTA FE,LITORAL,BIODIESEL,0.0
2015,SANTA FE,LITORAL,HIDRO <=50MW,0.017539000000000003
2016,SANTA FE,LITORAL,BIODIESEL,0.0
2016,SANTA FE,LITORAL,HIDRO <=50MW,0.011596
2017,SANTA FE,LITORAL,BIODIESEL,0.0
2017,SANTA FE,LITORAL,BIOGAS,1.061792
2017,SANTA FE,LITORAL,HIDRO <=50MW,0.0
2018,SANTA FE,LITORAL,BIODIESEL,0.0
2018,SANTA FE,LITORAL,BIOGAS,9.232089
2018,SANTA FE,LITORAL,HIDRO <=50MW,0.029663000000000002
2011,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,150.573566
2012,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,151.899562
2013,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,84.37025100000001
2014,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,136.90405900000002
2015,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,146.57407
2016,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,156.23122400000003
2017,SANTIAGO DEL ESTERO,NOROESTE,EOLICO,9.051663
2017,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,153.970537
2018,SANTIAGO DEL ESTERO,NOROESTE,EOLICO,14.738799
2018,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,115.74093100000002
2011,TUCUMAN,NOROESTE,BIOMASA,8.270237999999999
2011,TUCUMAN,NOROESTE,HIDRO <=50MW,166.921931
2012,TUCUMAN,NOROESTE,BIOMASA,4.673353
2012,TUCUMAN,NOROESTE,HIDRO <=50MW,158.883198
2013,TUCUMAN,NOROESTE,BIOMASA,6.006989000000001
2013,TUCUMAN,NOROESTE,HIDRO <=50MW,96.322163
2014,TUCUMAN,NOROESTE,BIOMASA,11.764417000000003
2014,TUCUMAN,NOROESTE,HIDRO <=50MW,163.856788
2015,TUCUMAN,NOROESTE,BIOMASA,20.32475
2015,TUCUMAN,NOROESTE,HIDRO <=50MW,218.54803500000003
2016,TUCUMAN,NOROESTE,BIOMASA,17.261252
2016,TUCUMAN,NOROESTE,HIDRO <=50MW,237.95951
2017,TUCUMAN,NOROESTE,BIOMASA,15.334964
2017,TUCUMAN,NOROESTE,HIDRO <=50MW,153.806146
2018,TUCUMAN,NOROESTE,BIOMASA,14.20063
2018,TUCUMAN,NOROESTE,HIDRO <=50MW,167.810047
